Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.0107,37.6968,100829,LLNL,3,46,23000,13000,1.2,280,15.05271321,7000,0.087,1.7,7100,2800,1.6,23000,25000,0.225,1.9
-121.0107,37.6968,100829,LLNL,2.2,50,23000,17000,1.8,350,13.18821369,6600,0.61,5.2,7400,2600,1.6,28000,31000,0.345,2
-121.0107,37.6968,100829,LLNL,2.9,52,24000,14000,0.83,290,11.64110432,7500,0.33,2.6,7500,2900,1,22000,27000,0.27,1.6
-121.0107,37.6968,100829,LLNL,2.7,52,23000,14000,1,300,10.66279533,7100,0.14,2,7700,3000,1.9,24000,26000,0.21,1.9
-120.9673,37.6842,100830,LLNL,6.4,56,24000,11000,0.72,190,8.453420973,7600,0.39,4.5,4200,3600,0.44,15000,23000,0.0858,2
-120.7541,37.6238,100831,LLNL,5.4,120,56000,120000,0.633768714,430,15.93877187,16000,0.68226787,6.6,20000,12000,3.607427063,97000,87000,1.8,4.7
-120.7541,37.6238,100831,LLNL,4.4,140,53000,130000,0.45,380,9.554649964,15000,0.18,4.6,23000,13000,1.3,94000,1.00E+05,1.035,3.9
-120.7541,37.6238,100831,LLNL,3.7,130,52000,110000,0.13,340,6.878575599,15000,1.684662934,2.5,27000,11000,0.629325189,75000,90000,0.855,3.3
-120.7541,37.6238,100831,LLNL,4.8,140,48000,120000,0.42,390,5.811797585,14000,0.21,4.8,20000,12000,0.46,92000,93000,0.9675,4.1
-120.7541,37.6238,100831,LLNL,4.4,90,33000,72000,0.3,370,1.846523164,9900,0.12,2.2,9800,8800,0.37,58000,55000,0.645,4
-120.9189,37.6421,100832,LLNL,7.3,48,15000,31000,0.65,500,6.75048471,4600,0.22,2.4,6900,4700,1.3,44000,33000,0.18,4
-120.9189,37.6421,100832,LLNL,4.7,110,34000,88000,0.4,420,5.7,10000,0.3,5,13000,9100,0.46,78000,53000,0.75,5.2
-120.9189,37.6421,100832,LLNL,7.8,39,13000,22000,0.69,500,3.1,4000,0.4,1.9,5700,4500,1.5,40000,30000,0.1335,5.2
