Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb) ,Zn (ppb),Cr_level
39.76766667,-121.7815556,USGS,CAMP-ES-15,CAMP-ES-15,CAMP-ES-15,2.6,0.79,8.62,17700,3260,0.75,0.76,130,3.2,1130,10300,0.28,0.245,0.28,474,0.341,0.05,3410,135,0.117068,20,2,Group 0
37.75711111,-120.7992778,USGS,CE-QPC-01,CE-QPC-01,CE-QPC-01,6.6,1.2,43.1,24400,8890,0.92,2.5,80,4,2650,9310,0.4,0.776,1.18,4390,2.69,0.05,7580,309,0.35668,7,26.1,Group 0
37.75711111,-120.7992778,USGS,CE-QPC-01,CE-QPC-01,CE-QPC-01,1.5,1.3,43.2,22800,6650,0.96,2.1,160,8.4,2660,10200,0.34,0.74,0.2,4340,1.13,0.08,10500,316,0.30784,7.3,28.6,Group 0
38.28752778,-121.3289722,USGS,COS-08,COS-08,COS-08,3.4,21.9,154,9430,7420,0.3,0.8,60,81,1290,6460,132,2.11,0.2,238,0.04,0.09,3450,115,0.15688,3,6.8,Group 0
38.28752778,-121.3289722,USGS,COS-08,COS-08,COS-08,1.3,21.5,152,9470,7720,0.15,1,90,90.8,1350,6150,154,2.24,0.21,298,0.08,0.07,3080,126,0.2812,1.5,1.5,Group 0
38.28752778,-121.3289722,USGS,COS-08,COS-08,COS-08,4.8,19.3,136,10000,8580,0.12,0.8,80,102,1230,6660,154,2.38,0.11,176,0.025,0.07,3960,104,0.20572,1.9,1.6,Group 0
36.65091111,-120.2486056,USGS,DM-01,DM-01,DM-01,5.7,15.7,14.2,15000,56700,0.12,1,850,40.1,2290,1550,93.1,28.1,0.07,40,0.019,0.04,319000,140,2.072,0.42,2.8,Group 0
36.77631944,-120.3736889,USGS,DM-02,DM-02,DM-02,3.4,0.19,55.1,105000,320000,0.12,1,180,524,5120,25700,842,7.7,0.75,40,0.115,0.13,606000,920,0.12802,0.48,23,Group 0
37.04547222,-120.63625,USGS,DM-04,DM-04,DM-04,3.4,9.6,294,46900,79900,0.12,3.6,100,40.1,1980,18300,583,2.77,0.41,40,2.47,0.04,42500,688,1.6576,0.18,12.9,Group 0
36.86113889,-120.4517222,USGS,DM-05,DM-05,DM-05,1.8,3.5,132,25000,89000,0.12,1,80,400,3100,16400,414,2.73,0.3,40,0.03,0.03,71300,477,0.0129944,0.37,2.8,Group 0
36.98266667,-120.8279444,USGS,DM-13,DM-13,DM-13,17,1.7,46.3,87800,264000,0.6,5,170,61.3,2920,43200,237,4.13,0.53,40,0.15,0.2,334000,1850,0.080956,0.52,14,Group 0
37.01133333,-120.6565278,USGS,DM-16,DM-16,DM-16,10.2,5,346,76200,535000,0.36,3,130,82.5,2980,39900,872,7.08,0.76,40,1.06,0.12,84200,1060,0.98272,3.3,8.4,Group 0
36.89252778,-120.56375,USGS,DM-22,DM-22,DM-22,6.8,9.3,31,310000,1050000,0.32,2,120,187,8170,135000,3190,11,3.8,40,0.06,0.09,1000000,4090,4.1144,3.9,2.9,Group 0
36.98552778,-120.5830556,USGS,DM-24,DM-24,DM-24,3.4,3.7,127,101000,390000,0.12,1,90,1160,4080,57100,2680,3.04,1.9,40,0.059,0.04,213000,1300,0.46324,1.2,4.7,Group 0
37.08430556,-120.7079167,USGS,DM-25,DM-25,DM-25,3.4,7.6,57.4,35800,149000,0.07,1,150,270,1580,18200,617,9.33,0.42,40,0.179,0.04,77400,413,1.6132,0.81,2,Group 0
37.10138889,-120.8206111,USGS,DM-27,DM-27,DM-27,12.5,6.1,17.2,51700,297000,0.6,1.6,220,63.2,2800,46000,709,25.1,0.4,40,0.08,0.05,610000,1150,0.59644,2.8,5.6,Group 0
37.10138889,-120.8206111,USGS,DM-27,DM-27,DM-27,3.4,7.9,19.2,82500,473000,0.24,2,170,918,3270,18400,363,47.7,0.65,39,0.06,0.14,729000,643,0.3848,0.35,4,Group 0
37.16080556,-120.7579444,USGS,DM-29,DM-29,DM-29,3.4,15.6,223,114000,235000,0.12,2,130,11200,3310,42300,4750,2.95,1.7,38,0.027,0.09,216000,1000,0.90428,0.4,1.7,Group 0
37.10355552,-120.8343608,USGS,DM-U-01,DM-U-01,DM-U-01,3.4,13.4,66.2,85700,194000,0.12,1,180,122,2150,54100,335,3.73,0.52,40,0.025,0.04,264000,1460,13.024,0.4,9.4,Group 0
37.01728056,-120.8999278,USGS,DM-U-04,DM-U-04,DM-U-04,2.6,5.1,68.7,46600,63100,0.95,1,240,6,2600,28000,3.98,1.35,0.55,1980,0.017,0.61,75100,605,1.11,6.2,2.8,Group 0
36.88959444,-120.6701639,USGS,DM-U-07,DM-U-07,DM-U-07,17,12.8,22.3,15500,112000,0.6,5,260,9.9,1140,2720,66.2,55,1.1,40,0.15,0.2,316000,163,0.41736,0.63,14,Group 0
36.88959444,-120.6701639,USGS,DM-U-08,DM-U-08,DM-U-08,27.2,7.9,41.7,47900,256000,0.58,8,360,7.6,2810,18100,130,22.6,0.93,40,0.24,2.5,152000,857,4.9432,8,22.4,Group 0
