Longitude,Latitude,WELL.ID,SOURCE,GM_SAMP_COLLECTION_DATE,Alkalinity.total,Aluminum,Arsenic,Barium,Beryllium,Cadmium,Calcium,Chloride,Chromium,Copper,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium,Zinc
-121.8301944,39.847,CAMP-ES-14,USGS,10/7/10,121000,2.8,0.85,19.4,0.004384376,0.003687865,20200,2050,1,NA,90,0.917741603,13500,0.096713049,NA,508,2450,0.07,7790,870,0.2895,26.1,0.696299231
-121.7815556,39.76766667,CAMP-ES-15,USGS,10/12/10,102000,2.6,0.79,8.62,0.005154484,0.015719218,17700,3260,0.75,NA,130,NA,10300,NA,0.28,474,1130,0.05,9310,3410,0.11865,20,NA
-120.7992778,37.75711111,CE-QPC-01,USGS,2/8/16,107000,6.6,1.2,43.2,0.003002472,0.010403956,24400,8890,0.96,NA,80,0.416583631,10200,0.033766001,0.178376512,4340,2650,0.01514709,15600,10500,0.312,7.3,28.6
-120.7455,37.64116667,CE-QPC-02,USGS,1/26/10,130000,2.6,4.3,91.5,0.005002548,0.003562981,22100,11400,1.8,NA,170,1.664604735,14400,0.073309656,0.43,3990,3950,0.11,18400,10400,0.7995,17.9,1.37402353
-120.7455,37.64116667,CE-QPC-02,USGS,3/1/16,130000,14.3,3.9,125,0.017775825,0.027710099,30500,18900,1.2,0.199084618,170,37.1,19600,3.2,0.27,6800,4490,0.06,18900,10500,1.095,19.7,45.8
-121.3289722,38.28752778,COS-08,USGS,4/3/08,99200,0.125734946,21.5,136,0.004555513,0.032411013,9430,7420,0.075576245,0.734609283,90,81,6150,132,0.075954849,176,1350,0.07,30200,3080,0.159,1.5,0.237491591
-121.3289722,38.28752778,COS-08,USGS,12/8/11,102000,3.4,21.9,154,0.003293477,0.002954755,10000,8580,0.15,0.698846097,60,90.8,6660,154,NA,298,1290,0.09,27900,3960,0.285,1.9,NA
-121.3289722,38.28752778,COS-08,USGS,1/13/14,105000,4.8,19.3,152,0.010769237,0.016288947,9470,7720,0.034710605,0.079836695,80,102,6460,154,0.205186071,238,1230,0.07,29800,3450,0.2085,3,6.8
-121.2266944,38.21766667,COS-10,USGS,1/15/14,156000,4.5,1.5,170,0.016884624,0.01605936,36800,23800,5.3,2.4,120,3.862591296,20400,0.251192631,0.48,4590,3480,0.27,17400,9560,0.3225,20.2,11.7
-120.2486056,36.65091111,DM-01,USGS,3/1/10,118000,5.7,15.7,14.2,0.007,0.178,15000,56700,0.063242624,0.893713408,850,40.1,1550,93.1,0.07,14.98421316,2290,0.005820066,205000,319000,2.1,0.42,1.276251346
