x,y,z,redox
548143.0,6220355.0,91.0,2.0
548143.0,6220355.0,92.0,2.0
548143.0,6220355.0,77.0,0.0
548143.0,6220355.0,78.0,0.0
548143.0,6220355.0,79.0,0.0
548143.0,6220355.0,80.0,0.0
548143.0,6220355.0,81.0,0.0
548143.0,6220355.0,82.0,0.0
548143.0,6220355.0,83.0,0.0
548143.0,6220355.0,84.0,0.0
548143.0,6220355.0,85.0,0.0
548143.0,6220355.0,86.0,0.0
548143.0,6220355.0,87.0,0.0
548143.0,6220355.0,88.0,0.0
548143.0,6220355.0,89.0,0.0
548143.0,6220355.0,90.0,0.0
548143.0,6220355.0,91.0,0.0
548143.0,6220355.0,66.0,2.0
548143.0,6220355.0,67.0,2.0
548143.0,6220355.0,68.0,2.0
548143.0,6220355.0,69.0,2.0
548143.0,6220355.0,70.0,2.0
548143.0,6220355.0,71.0,2.0
548143.0,6220355.0,72.0,2.0
548143.0,6220355.0,73.0,2.0
548143.0,6220355.0,74.0,2.0
548143.0,6220355.0,62.0,0.0
548143.0,6220355.0,63.0,0.0
548143.0,6220355.0,64.0,0.0
548143.0,6220355.0,65.0,0.0
548143.0,6220355.0,66.0,0.0
548143.0,6220355.0,56.0,0.0
548143.0,6220355.0,57.0,0.0
548143.0,6220355.0,54.0,1.0
548143.0,6220355.0,55.0,1.0
548143.0,6220355.0,56.0,1.0
548143.0,6220355.0,35.0,0.0
548143.0,6220355.0,36.0,0.0
548143.0,6220355.0,37.0,0.0
548143.0,6220355.0,38.0,0.0
548143.0,6220355.0,39.0,0.0
548143.0,6220355.0,40.0,0.0
548143.0,6220355.0,41.0,0.0
548143.0,6220355.0,42.0,0.0
548143.0,6220355.0,43.0,0.0
548143.0,6220355.0,44.0,0.0
548143.0,6220355.0,45.0,0.0
548143.0,6220355.0,46.0,0.0
548143.0,6220355.0,47.0,0.0
548143.0,6220355.0,48.0,0.0
548143.0,6220355.0,49.0,0.0
548143.0,6220355.0,50.0,0.0
548143.0,6220355.0,51.0,0.0
548143.0,6220355.0,52.0,0.0
548143.0,6220355.0,53.0,0.0
548143.0,6220355.0,54.0,0.0
548143.0,6220355.0,32.0,0.0
548143.0,6220355.0,33.0,0.0
548143.0,6220355.0,34.0,0.0
548143.0,6220355.0,35.0,0.0
548751.0,6220558.0,89.0,1.0
548751.0,6220558.0,90.0,1.0
548751.0,6220558.0,91.0,1.0
