Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Engelberg
Altitude [m asl]:         1036 m
Coordinates:              46° 49.3' N / 8° 24.6' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1864      1               -6.9               53.5  
1864      2               -3.6               78.4  
1864      3                1.5               69.8  
1864      4                3.5              174.4  
1864      5                9.3              240.6  
1864      6               11.3              225.2  
1864      7               13.3              199.4  
1864      8               12.0              101.6  
1864      9                9.6              105.7  
1864     10                4.9               80.8  
1864     11                0.2               77.5  
1864     12               -4.6                3.7  
1865      1               -1.7               91.1  
1865      2               -4.8               90.2  
1865      3               -4.6              120.9  
1865      4                7.9                2.7  
1865      5               12.2              116.7  
1865      6               12.3              127.8  
1865      7               15.4              210.0  
1865      8               12.4              219.2  
1865      9               12.2                3.2  
1865     10                6.7              131.3  
1865     11                2.4               74.3  
1865     12               -3.3               17.9  
1866      1               -0.8               71.6  
1866      2                0.5              154.1  
1866      3                0.5              118.9  
1866      4                5.8              141.3  
1866      5                6.6              158.7  
1866      6               13.4               95.1  
1866      7               13.5              167.7  
1866      8               11.2              281.3  
1866      9               10.8              144.8  
1866     10                5.9               23.6  
1866     11                0.5              198.8  
1866     12                0.0              119.4  
1867      1               -3.2              206.3  
1867      2                2.2              108.1  
1867      3                1.0              166.9  
1867      4                5.4              262.8  
1867      5                9.5              172.0  
1867      6               12.4              183.6  
1867      7               13.0               62.9  
1867      8               13.9              138.8  
1867      9               11.4              110.8  
1867     10                3.3              203.8  
1867     11               -1.1               40.9  
1867     12               -5.4              167.0  
1868      1               -6.4               98.0  
1868      2               -1.4               19.6  
1868      3               -1.1              226.4  
1868      4                3.5              139.9  
1868      5               14.3               74.0  
1868      6               14.0              177.8  
1868      7               13.9              170.7  
1868      8               13.7              140.9  
1868      9               12.1              107.6  
1868     10                5.9              257.1  
1868     11               -1.8               52.6  
1868     12                2.7              189.8  
1869      1               -4.7               57.9  
1869      2                2.9               44.4  
1869      3               -3.1              172.8  
1869      4                5.6              115.1  
1869      5               11.3              140.7  
1869      6                9.7              173.0  
1869      7               16.1              131.8  
1869      8               11.8              221.4  
1869      9               11.4               94.8  
1869     10                2.9              121.8  
1869     11                0.8              138.3  
1869     12               -2.6              107.9  
1870      1               -5.4               42.4  
1870      2               -3.4               26.0  
1870      3               -1.6               95.4  
1870      4                4.3               74.3  
1870      5               10.7               55.8  
1870      6               12.8              118.0  
1870      7               15.6              108.5  
1870      8               11.2              219.8  
1870      9                9.0               92.3  
1870     10                5.4              289.9  
1870     11                0.1              137.7  
1870     12               -6.5               72.8  
1871      1               -8.3               47.7  
1871      2               -1.2               82.8  
1871      3                1.2               75.9  
1871      4                5.5              201.9  
1871      5                8.4              109.4  
1871      6                9.0              197.6  
1871      7               14.5              123.7  
1871      8               13.3              178.5  
1871      9               12.1               45.0  
1871     10                3.8              164.5  
1871     11               -2.7               80.2  
1871     12               -9.4               20.0  
1872      1               -2.0               53.1  
1872      2               -1.2               64.7  
1872      3                2.0               77.4  
1872      4                5.6              129.4  
1872      5                8.2              337.7  
1872      6               11.7              215.8  
1872      7               14.3              144.0  
1872      8               11.8              245.1  
1872      9               10.7               97.6  
1872     10                7.2              213.9  
1872     11                2.8               49.5  
1872     12                1.6              119.0  
1873      1               -0.5               21.8  
1873      2               -2.9               35.4  
1873      3                3.2               79.9  
1873      4                3.4              110.1  
1873      5                6.8              145.7  
1873      6               12.4              136.7  
1873      7               15.5              206.1  
1873      8               14.4              232.3  
1873      9                9.9              148.2  
1873     10                5.8              138.8  
1873     11                1.0               84.0  
1873     12               -4.8               59.3  
1874      1               -2.8               32.3  
1874      2               -3.3               50.2  
1874      3               -0.2               61.4  
1874      4                6.0              107.9  
1874      5                5.5              157.2  
1874      6               13.1              254.1  
1874      7               15.9              265.8  
1874      8               12.0              160.2  
1874      9               12.0               69.9  
1874     10                6.9               74.5  
1874     11               -1.8              176.4  
1874     12               -5.5               85.6  
1875      1               -1.1              173.4  
