Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Genève / Cointrin
Altitude [m asl]:         411 m
Coordinates:              46° 14.9' N / 6° 7.7' E

Reference date of homogenization:
         Temperature:     01.12.2008
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1864      1               -4.2               13.6  
1864      2               -0.7               17.2  
1864      3                5.3               32.7  
1864      4                8.3               35.2  
1864      5               13.5               68.9  
1864      6               15.6              115.2  
1864      7               19.3               37.7  
1864      8               17.4               87.8  
1864      9               13.5               84.8  
1864     10                8.1               69.9  
1864     11                3.7              104.0  
1864     12               -1.5                4.5  
1865      1                2.0               49.4  
1865      2               -0.4               56.6  
1865      3                0.5               30.6  
1865      4               12.4               18.3  
1865      5               15.7               81.7  
1865      6               17.8               75.9  
1865      7               19.8               52.0  
1865      8               17.2              138.4  
1865      9               16.2                3.2  
1865     10               10.3              156.9  
1865     11                5.7               70.3  
1865     12               -0.2               35.1  
1866      1                2.9               50.0  
1866      2                5.2               93.8  
1866      3                4.3              169.0  
1866      4                9.6               75.7  
1866      5               11.2              144.1  
1866      6               18.0               46.5  
1866      7               18.4              101.3  
1866      8               16.1               92.6  
1866      9               15.3              120.7  
1866     10               10.5               40.7  
1866     11                4.2               72.6  
1866     12                2.4               71.9  
1867      1                0.4              113.1  
1867      2                5.1               43.2  
1867      3                4.8              168.6  
1867      4                9.3              147.3  
1867      5               13.0              126.8  
1867      6               16.7               68.1  
1867      7               17.7               29.5  
1867      8               18.7               64.5  
1867      9               15.6               98.0  
1867     10                7.8               98.0  
1867     11                2.6                6.3  
1867     12               -0.8               20.1  
1868      1               -1.2               41.4  
1868      2                2.7                3.8  
1868      3                3.7               69.1  
1868      4                8.2               60.1  
1868      5               17.5               79.6  
1868      6               18.0               29.9  
1868      7               19.2               63.2  
1868      8               18.3               66.4  
1868      9               16.2              143.2  
1868     10                9.8               97.0  
1868     11                2.4               60.0  
1868     12                6.5              166.9  
1869      1                0.3               39.5  
1869      2                4.7               67.0  
1869      3                1.8               47.8  
1869      4               10.0               36.3  
1869      5               14.4              103.0  
1869      6               14.8               77.5  
1869      7               20.7               37.6  
1869      8               17.4               34.2  
1869      9               15.2               70.7  
1869     10                7.7               38.0  
1869     11                4.4               66.3  
1869     12                0.0               58.4  
1870      1               -0.4               17.0  
1870      2               -0.8               33.4  
1870      3                3.2               34.9  
1870      4                9.1               10.9  
1870      5               15.0               22.7  
1870      6               18.7               15.4  
1870      7               21.5               66.5  
