Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1864      1               -6.6               25.7  
1864      2               -1.5               32.9  
1864      3                4.5               51.0  
1864      4                6.8               46.9  
1864      5               12.3               78.4  
1864      6               14.7              146.4  
1864      7               16.9               77.5  
1864      8               15.3               31.3  
1864      9               12.9               61.9  
1864     10                6.7               15.4  
1864     11                2.5               78.5  
1864     12               -4.2                4.0  
1865      1                0.0               63.7  
1865      2               -2.9               52.8  
1865      3               -1.2               51.9  
1865      4               11.9                3.9  
1865      5               15.2               59.8  
1865      6               16.0               43.3  
1865      7               19.0               79.7  
1865      8               15.8              164.6  
1865      9               15.4                0.0  
1865     10                9.3               68.5  
1865     11                4.2               62.9  
1865     12               -1.9               17.1  
1866      1                1.7               81.3  
1866      2                3.7              169.3  
1866      3                3.7              111.5  
1866      4                9.1              104.3  
1866      5                9.7              103.1  
1866      6               17.5               34.8  
1866      7               17.4               55.4  
1866      8               14.7              200.2  
1866      9               14.3               81.4  
1866     10                8.0               26.6  
1866     11                3.6              108.2  
1866     12                1.7              130.7  
1867      1               -1.2              134.4  
1867      2                4.7               75.4  
1867      3                3.7              105.3  
1867      4                8.2              126.2  
1867      5               12.8              108.6  
1867      6               15.7              187.6  
1867      7               16.3               47.0  
1867      8               17.6              157.4  
1867      9               14.2              108.1  
1867     10                6.7              165.9  
1867     11                0.9               27.7  
1867     12               -2.6               58.3  
1868      1               -2.5               36.7  
1868      2                2.3                6.4  
1868      3                2.6               62.9  
1868      4                7.3               80.5  
1868      5               17.6                9.1  
1868      6               17.3               88.7  
1868      7               18.1               89.4  
1868      8               17.5               69.4  
1868      9               15.6               72.0  
1868     10                8.8              159.7  
1868     11                0.6               51.4  
1868     12                5.1              129.9  
1869      1               -1.7               21.2  
1869      2                4.9               19.5  
1869      3                0.5               44.2  
1869      4               10.1               78.5  
1869      5               13.9              108.3  
1869      6               13.4              121.3  
1869      7               19.6              133.2  
1869      8               15.5              192.7  
1869      9               14.4               77.8  
1869     10                6.0               63.3  
1869     11                3.8               67.4  
1869     12               -1.9               47.7  
1870      1               -2.4                9.5  
1870      2               -3.1               19.1  
1870      3                1.7               73.0  
1870      4                8.0                7.6  
1870      5               14.0               48.7  
1870      6               16.9               54.7  
1870      7               19.7               95.4  
1870      8               15.1               93.3  
1870      9               11.9               71.5  
1870     10                8.1              185.3  
1870     11                2.9               64.2  
1870     12               -4.3               90.6  
1871      1               -5.1               39.2  
1871      2                0.9               37.1  
1871      3                4.1               31.1  
1871      4                8.5              108.8  
1871      5               11.6               27.0  
1871      6               12.6              133.6  
1871      7               18.1              102.1  
1871      8               17.5               91.3  
1871      9               15.3               30.6  
1871     10                6.2              126.6  
1871     11               -0.2               36.8  
1871     12               -7.2                8.1  
1872      1               -0.5               31.9  
1872      2                0.3               59.6  
1872      3                5.3               30.4  
1872      4                9.0               58.4  
1872      5               11.3              199.9  
1872      6               15.1              167.2  
1872      7               18.5              114.0  
1872      8               15.5              203.2  
1872      9               14.1               20.6  
1872     10                9.3               91.4  
1872     11                5.6              105.8  
1872     12                2.2               95.0  
1873      1                0.3               23.6  
1873      2               -0.1               25.4  
1873      3                6.0              116.3  
1873      4                6.5              148.2  
1873      5                9.8              113.5  
1873      6               16.2               52.1  
1873      7               19.7              152.7  
1873      8               18.5              111.9  
1873      9               12.8               90.1  
1873     10                9.1              120.2  
1873     11                3.5               74.7  
1873     12               -1.0               15.1  
1874      1               -1.0               24.0  
1874      2               -0.5               12.3  
1874      3                3.6               31.6  
1874      4                9.8               89.3  
1874      5                9.0              113.5  
1874      6               16.5               99.3  
1874      7               20.3              176.9  
1874      8               15.6               99.4  
1874      9               15.1               43.5  
1874     10                7.9               25.2  
1874     11                0.3               74.8  
1874     12               -2.1               94.5  
1875      1                1.1              102.6  
1875      2               -3.7               15.0  
1875      3                1.7               54.3  
1875      4                8.4               13.9  
1875      5               14.6              118.3  
1875      6               16.5              136.4  
1875      7               16.4              129.0  
1875      8               18.8               68.2  
1875      9               14.9              118.4  
1875     10                7.3              165.8  
1875     11                3.2              166.6  
1875     12               -3.2               12.9  
1876      1               -3.2               12.1  
1876      2                1.5              147.8  
1876      3                3.9              213.4  
1876      4                8.0              131.3  
1876      5                9.1              131.8  
1876      6               15.5              359.2  
1876      7               18.9               92.1  
1876      8               18.1              140.5  
1876      9               12.5              198.5  
1876     10               10.5               13.4  
1876     11                1.9               88.0  
1876     12                3.4               77.2  
1877      1                2.0               60.0  
1877      2                3.0               88.5  
1877      3                2.3               70.3  
1877      4                7.3               90.7  
1877      5                9.8               94.2  
1877      6               18.9               38.8  
1877      7               16.9              162.8  
1877      8               18.1              104.2  
1877      9               11.1               40.5  
1877     10                6.3               34.8  
1877     11                5.2               71.6  
1877     12                0.5               76.8  
1878      1               -2.9               57.0  
1878      2                0.3               25.2  
1878      3                2.6               70.9  
1878      4                8.0              100.4  
1878      5               13.4              128.5  
1878      6               15.2              249.7  
1878      7               16.8               99.1  
1878      8               16.9              126.9  
1878      9               13.4              105.6  
1878     10                9.2               70.4  
1878     11                1.5               52.8  
1878     12               -3.0               77.5  
1879      1               -1.6               46.6  
1879      2                1.2              119.1  
1879      3                3.9               25.2  
1879      4                6.0               75.8  
1879      5                8.1               86.6  
1879      6               16.0               98.7  
1879      7               14.9              156.6  
1879      8               18.4               70.8  
1879      9               13.5              120.5  
1879     10                6.8               73.9  
1879     11               -0.3               86.7  
1879     12               -9.0               50.6  
1880      1               -5.7               21.3  
1880      2               -0.1               47.6  
1880      3                6.3               21.8  
1880      4                8.3              108.7  
1880      5               11.0               56.1  
1880      6               14.7               88.9  
1880      7               18.7              112.4  
1880      8               16.2              132.9  
1880      9               14.1              103.8  
1880     10                8.4              174.1  
1880     11                4.2               32.7  
1880     12                4.6               79.2  
1881      1               -3.9               25.9  
1881      2                1.4               62.6  
1881      3                4.9               80.8  
1881      4                6.9               83.8  
1881      5               11.3               51.3  
1881      6               15.2              101.7  
1881      7               20.3               64.2  
1881      8               17.2              212.8  
1881      9               12.0              179.0  
1881     10                4.9               52.2  
1881     11                4.6                8.1  
1881     12               -0.3               31.6  
1882      1               -1.5               15.6  
1882      2                0.3               12.0  
1882      3                6.0               21.5  
1882      4                7.9               60.7  
1882      5               12.7               65.1  
1882      6               14.7              164.9  
1882      7               15.8              113.4  
1882      8               15.1              113.0  
1882      9               12.0              165.3  
1882     10                9.3              159.0  
1882     11                4.6              137.7  
1882     12                0.8              138.7  
1883      1                0.0               45.4  
1883      2                2.4               35.1  
1883      3               -0.3               31.3  
1883      4                7.2               54.9  
1883      5               12.6              113.8  
1883      6               15.0              140.5  
1883      7               16.1              132.5  
1883      8               16.1               43.2  
1883      9               12.9               95.1  
1883     10                7.2               99.3  
1883     11                4.0               69.7  
1883     12               -0.3               63.4  
1884      1                1.6               37.8  
1884      2                1.8               40.1  
1884      3                5.2               18.8  
1884      4                6.9               37.3  
1884      5               13.4               81.7  
1884      6               12.5              119.3  
1884      7               18.4              149.0  
1884      8               17.4              114.3  
1884      9               13.5               73.7  
1884     10                7.8               38.1  
1884     11                1.4               19.3  
1884     12                0.4               91.6  
1885      1               -4.4                6.3  
1885      2                3.3               65.1  
1885      3                3.1               81.2  
1885      4                9.0               33.2  
1885      5                9.6              145.3  
1885      6               17.6               70.9  
1885      7               18.4               90.9  
1885      8               16.4               66.5  
1885      9               12.6              166.0  
1885     10                6.8              152.2  
1885     11                3.9               65.3  
1885     12               -0.5               96.8  
1886      1               -2.0               37.8  
1886      2               -2.8               31.6  
1886      3                2.1               45.4  
1886      4                9.3               77.9  
1886      5               12.6               56.0  
1886      6               13.7              188.7  
1886      7               17.6              151.1  
1886      8               16.9              170.6  
1886      9               15.5               53.0  
1886     10                9.4               96.6  
1886     11                4.1               71.5  
1886     12                0.7              118.6  
1887      1               -4.3                8.4  
1887      2               -2.1                6.8  
