x,y,Au,Ag,As,Ba,Be,Bi,Cd,Co,Cr,Cu,Mn,Nb,Ni,P,Pb,Rb,Sb,Sn,Ti,V,W,Zn,Zr,Si,Al,Fe,Mg,Ca,Na,K
28.09,28.306,0.8397,0.16358,12.557,640,2.566,0.41059,0.15289,10.268,54.98,19.511,586.6,14.133,24.322,578.3,39.246,115.4,1.1638,2.8783,3892.5,74.208,1.7011,68.816,321.2,6.393e+05,1.429e+05,41400,11700,15800,20200,29210
21.736,34.54,0.5309,0.097287,8.7926,610.4,2.4512,0.28667,0.11157,8.9944,48.4,17.046,543.9,11.779,19.467,598.1,23.337,110,0.78,2.287,3200.6,61.677,1.51,52.25,311.7,6.588e+05,1.224e+05,29800,12100,32800,25600,31230
30.464,26.078,2.6924,0.11951,14.807,535.3,2.4506,0.35381,0.10856,11.728,62.8,22.931,562.6,13.049,33.857,556,24.873,100.2,1.3248,2.32,3874.8,89.5,1.8328,65.283,254.6,5.702e+05,1.317e+05,49100,18100,48200,11100,23100
30.617,27.809,1.428,0.14994,15.708,565,2.4934,0.27281,0.15581,9.3256,50.9,16.907,466.8,10.346,21.71,786.3,28.206,104.8,0.91655,2.01,3111.5,63.4,1.4129,66.145,269.9,5.846e+05,1.354e+05,45900,17500,34700,13400,25100
0.76984,23.904,0.6721,0.06459,5.456,521.5,2.2487,0.2226,0.08863,5.5854,34.7,11.092,396.7,13.63,11.21,515.8,19.52,106.2,0.561,2.16,3482.8,51.7,1.138,38.857,529.6,6.622e+05,1.247e+05,26900,9100,12000,23000,30800
19.207,10.061,1.3816,0.073188,5.666,505.9,1.886,0.18795,0.082861,8.7571,45.4,15.372,430.8,9.996,20.202,576.8,17.397,87,0.70686,1.64,3047.4,71.5,1.166,41.85,250.6,4.769e+05,1.082e+05,33800,15000,1.179e+05,11400,20800
4.3003,12.35,1.083,0.078936,7.854,566.8,2.105,0.24045,0.07512,5.9369,44.9,11.701,385.2,12.79,14.19,646.2,18.581,106.5,0.6237,2.21,3570.4,59.5,1.195,40.417,501.4,6.551e+05,1.385e+05,32100,10800,13500,19600,28900
10.473,32.186,1.0213,0.0775,9.008,599.8,2.4689,0.24779,0.068575,6.7882,50.9,12.672,374.3,11.54,18.27,512.8,19.399,111.1,0.63668,1.8347,3270.1,63.7,1.3784,43.901,296.6,6.584e+05,1.433e+05,34500,12200,12800,19000,29400
1.7624,23.849,0.7593,0.06361,6.522,544.7,2.1688,0.2268,0.06887,6.824,36.2,11.797,426.8,14.362,15.044,513.8,18.522,106.3,0.6248,2.2785,3408.4,58.4,1.3,39.004,497.3,6.472e+05,1.279e+05,31600,10300,13300,21600,28900
25.039,14.719,0.7798,0.087782,7.628,590.8,2.1799,0.3024,0.12196,9.5172,44.1,16.706,623.8,13.34,17.241,719,23.6,106.1,0.85123,2.79,3731.4,64.5,1.505,51.719,378.5,6.432e+05,1.351e+05,36600,12700,15300,19200,28900
37.595,17.732,0.5286,0.072021,7.4036,599.2,2.2088,0.2652,0.079361,8.6546,45.2,15.485,538.6,13.401,18.348,585,21.298,109.8,0.72335,2.47,3633.3,66,1.401,51.395,340.9,6.455e+05,1.351e+05,37900,12600,14500,18500,28700
33.095,1.652,0.939,0.070892,4.2296,577.3,2.0451,0.26017,0.13799,4.6865,25.5,10.433,335.7,9.279,8.6811,405.2,22.521,103.8,0.64515,1.82,2530.5,38,1.0184,53.71,257.5,6.859e+05,1.195e+05,20500,8100,14000,25700,31100
23.161,14.638,0.975,0.08712,7.854,571.3,2.3955,0.34965,0.16132,10.926,52.9,21.42,621.3,13.19,22.733,614.8,24.688,110.2,0.85932,2.22,3987.6,75,1.57,67.027,353.7,6.233e+05,1.34e+05,45200,14000,18500,16300,27100
21.026,27.772,1.0521,0.094786,10.912,570.6,2.3442,0.3549,0.18692,12.727,60.8,23.94,805,12.89,27.101,779.4,25.668,105.9,1.2128,2.65,3929.8,79.6,1.767,75.084,228.3,6.064e+05,1.319e+05,50200,15100,16700,14000,27800
35.743,11.935,0.8055,0.095008,7.1808,577.9,2.3426,0.31367,0.10466,6.97,43.6,12.372,408.8,12.429,16.88,652.6,23.457,112.5,0.73485,2.06,3442,60.6,1.4528,54.329,320.9,6.488e+05,1.371e+05,34600,11100,14500,19900,29300
18.13,33.271,0.7644,0.076426,8.86,569.4,2.1457,0.23415,0.096836,8.657,45.5,12.096,508.5,11.67,17.986,666.6,21.797,109.9,0.63409,2.97,3457.9,61.1,1.497,46.77,381,6.536e+05,1.36e+05,35900,12300,15100,18900,30400
36.606,4.8436,0.4723,0.078295,5.456,574.5,1.971,0.21852,0.076384,5.5577,30.8,8.9712,354.4,10.132,11.43,445.8,21.669,108.2,0.5382,1.83,2718.2,50.2,1.01,40.207,235.3,6.719e+05,1.209e+05,26000,8700,13600,22300,30200
12.414,29.362,1.0315,0.07564,7.628,579,2.1949,0.24922,0.064765,8.0986,43.1,12.595,421.2,11.01,19.488,383.8,19.624,107.9,0.67383,1.92,2927.3,55.3,1.4327,44.275,219,6.652e+05,1.249e+05,33600,11000,13600,19500,27800
9.3887,24.829,0.6003,0.090926,6.3056,524.7,1.897,0.2877,0.11312,9.6223,50,16.181,503,11.92,23.65,539.1,19.951,92.2,0.9845,2.5,3349.6,73.5,1.433,51.366,304.2,5.275e+05,1.132e+05,40400,15200,82800,16700,23100
20.028,28.471,0.8277,0.13281,16.078,623.8,2.875,0.33111,0.14319,14.511,61.18,26.47,795.9,14.116,31.8,764.8,26.929,118.1,1.067,2.2107,4212.9,82.894,2.1824,73.674,276.2,6.058e+05,1.45e+05,49500,15900,16000,15400,26800
2.7241,15.457,1.3765,0.11574,8.774,496.2,1.9143,0.2058,0.09988,6.9204,47.1,14.362,331.9,10.358,18.249,468.5,16.254,91.8,0.5852,1.5918,2796.8,55.6,1.145,38.093,323.1,3.993e+05,94900,30000,21300,1.71e+05,25800,17900
8.4413,27.539,0.4672,0.047886,3.2516,569.1,1.919,0.1323,0.06141,3.1178,18.2,5.8638,216.2,8.706,7.066,287.3,16.995,108.1,0.4334,1.75,1916.5,28.6,0.746,23.185,215,6.919e+05,1.119e+05,15600,6400,12200,27600,31800
19.085,9.3811,1.0264,0.079586,6.3056,620.2,2.3929,0.25095,0.098649,10.189,51.6,17.934,594.9,11.8,20.769,559.1,20.334,103.7,0.75421,2.54,3613.7,63.8,1.44,50.171,292.6,6.378e+05,1.399e+05,38900,14200,16800,17500,27800
2.9683,27.284,0.5593,0.06833,4.632,541.5,2.2353,0.22365,0.07371,5.9062,28.5,11.44,361,11.847,12.682,443.4,19.152,103.7,0.5962,2.3929,2641.5,48.2,1.178,37.152,308.6,6.564e+05,1.17e+05,26000,7800,12100,25100,29300
10.46,17.52,1.4899,0.05946,8.5416,533.7,1.9354,0.22788,0.09611,7.5012,44.1,14.883,484.2,8.933,18.144,436.1,18.678,95,0.7547,1.95,3023.9,66.2,1.1214,42.845,187.4,5.281e+05,1.123e+05,32200,19300,85300,15100,23200
13.677,17.484,1.4848,0.07476,6.522,555,2.2289,0.25077,0.09431,8.7318,46.8,14.916,447,11.59,20.57,460.1,18.427,98,0.7201,2.31,3132.1,65.4,1.3427,45.408,257.9,6.104e+05,1.223e+05,33700,13700,48700,17500,25700
24.349,8.2583,0.7952,0.06188,5.456,558.8,1.9729,0.19425,0.065457,5.4461,32,8.631,338.2,11.05,13.115,438.8,18.487,102.3,0.56249,2.03,3003.9,47.3,1.023,32.49,384.2,6.426e+05,1.225e+05,25200,10800,15800,22600,28300
